["First Name", "Second Name", "Phone Number", "Address", "Website URL"]
Maksyut, Sergeev, , Pobedy 105, http://stud.kpfu.ru, 
Ivan, Ivanov, +7 977 77 77 777, Unknown street 46, http://google.com, 
Vladimir, Bazhanov, +79375295624, Pushkina 46, http://flatstack.com, 
Josef, Mengleev, 19-4119-4500, 8841 Brandenburg Street, http://gehospital.com, 
Svetlana, Tikhonova, 202-270-7455, 4274 White&Red Street, http://belru.com, 
Kim, Jong Bonk, 307-747-934, 4862 Korean Street, http://chuchkhe.com, 
Sergey, Tinkov, 317-705-4360, 3508 Wall Street, http://tinkov.com, 
Vladlena, Ulyanova, 443-416-7986, 2541 Paradise Avenue, http://redrussia.com, 
Karl, Marksov, 660-382-8792, 1396 Paradise Street, http://redworld.com, 
Petr, Romanovsky, 89171234567, Peterburgskaya 11, http://romanov.com, 
Alexey, Navalnov, 909-630-4706, 3485 Tverskaya Avenue, http://gosdep.com, 
